method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.1439349810014776,0.1520546264368282,0.008290596716448828,CartPole-v1
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.1439199340088874,0.15214327082100865,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,1,own_association,0.801935111121622,0.0325729475838642,2.220446049250313e-16,CartPole-v1
kmeans_distance_nlms,1,own_association,0.4924066574803437,-0.018142707184226392,0.11732228767143929,CartPole-v1
kmeans_rbf_nlms,1,own_association,0.052215967564171795,0.2523033795314914,8.881784197001252e-16,CartPole-v1
state_dmd,1,kahkm_association_of_predicted_state,0.13212516027720914,0.22162828237562393,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,1,kahkm_association_of_predicted_state,0.13442460977205467,0.208081835588818,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,1,kahkm_association_of_predicted_state,0.11854979828812184,0.3016030412076951,4.440892098500626e-16,CartPole-v1
kahkm_nlms,5,kahkm_association,0.1577794522594596,0.06875558509695612,1.1102230246251565e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.15778074517275908,0.06874795407611112,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,5,own_association,0.7860440521558081,0.05208084890899811,4.440892098500626e-16,CartPole-v1
kmeans_distance_nlms,5,own_association,0.45768201502549766,0.05530482523870717,2.6645352591003757e-15,CartPole-v1
kmeans_rbf_nlms,5,own_association,0.05094426880853914,0.2668857004621359,3.1086244689504383e-15,CartPole-v1
state_dmd,5,kahkm_association_of_predicted_state,0.15710562113048618,0.0727326649160216,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.1584812026093559,0.06461372071196303,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.1573858144405017,0.07107891056899751,4.440892098500626e-16,CartPole-v1
kahkm_nlms,10,kahkm_association,0.16228264863597924,0.040687155472946324,1.5543122344752192e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.16228244373016193,0.04068836674712828,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,10,own_association,0.7819795868023898,0.05812739995034133,8.881784197001252e-16,CartPole-v1
kmeans_distance_nlms,10,own_association,0.46610757384790324,0.040723612198748094,3.3306690738754696e-15,CartPole-v1
kmeans_rbf_nlms,10,own_association,0.05103813621599263,0.2690514113322938,5.329070518200751e-15,CartPole-v1
state_dmd,10,kahkm_association_of_predicted_state,0.1606471589374681,0.0503551408556151,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.16032562074946274,0.05225587218057259,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.15672737508553006,0.0735264350669187,4.440892098500626e-16,CartPole-v1
kahkm_nlms,20,kahkm_association,0.17436135796761798,-0.03226085140526891,2.6645352591003757e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.17436182688004215,-0.03226362747872824,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,20,own_association,0.8162010753838549,0.01719372939207431,1.5543122344752192e-15,CartPole-v1
kmeans_distance_nlms,20,own_association,0.5191772862869027,-0.060310242301613526,3.774758283725532e-15,CartPole-v1
kmeans_rbf_nlms,20,own_association,0.051844490288346104,0.26908973806729763,9.992007221626409e-15,CartPole-v1
state_dmd,20,kahkm_association_of_predicted_state,0.160248362253531,0.051291451361310414,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.160097968607664,0.05218181763706209,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.1646336778346178,0.02532933654310543,4.440892098500626e-16,CartPole-v1
kahkm_nlms,50,kahkm_association,0.1814170523575432,-0.08368092047323383,5.551115123125783e-15,CartPole-v1
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.18141715327114083,-0.08368152327290956,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,50,own_association,0.9094812027635805,-0.09204644035594423,3.3306690738754696e-15,CartPole-v1
kmeans_distance_nlms,50,own_association,0.5486468152210725,-0.1272077307685433,3.9968028886505635e-15,CartPole-v1
kmeans_rbf_nlms,50,own_association,0.05332674561121996,0.26774594422052655,2.2648549702353193e-14,CartPole-v1
state_dmd,50,kahkm_association_of_predicted_state,0.15785451847540588,0.05706807789408874,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.15766664068539213,0.05819035153800911,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.1594015764874942,0.04782684489653566,4.440892098500626e-16,CartPole-v1
